elements;bu;td
100;171;378
200;390;823
300;606;1262
400;804;1740
500;1023;2209
600;1254;2738
700;1491;3222
800;1725;3694
900;1962;4187
1000;2184;4698
1100;2436;5218
1200;2646;5717
1300;2901;6306
1400;3120;6781
1500;3351;7283
1600;3567;7722
1700;3768;8167
1800;3978;8609
1900;4215;9165
2000;4416;9637
2100;4659;10226
2200;4908;10785
2300;5133;11266
2400;5373;11789
2500;5601;12252
2600;5829;12760
2700;6036;13238
2800;6243;13698
2900;6435;14158
3000;6633;14600
3100;6909;15183
3200;7149;15634
3300;7389;16139
3400;7617;16653
3500;7830;17110
3600;8037;17552
3700;8301;18105
3800;8526;18622
3900;8763;19121
4000;9021;19650
4100;9249;20128
4200;9453;20585
4300;9654;21009
4400;9879;21451
4500;10134;22055
4600;10305;22452
4700;10536;22957
4800;10755;23438
4900;11001;23940
5000;11250;24463
5100;11436;24896
5200;11673;25404
5300;11922;25909
5400;12114;26405
5500;12363;26961
5600;12582;27373
5700;12819;27887
5800;13044;28428
5900;13245;28867
6000;13440;29372
6100;13668;29847
6200;13893;30352
6300;14121;30866
6400;14343;31371
6500;14625;31942
6600;14853;32489
6700;15084;32961
6800;15324;33451
6900;15516;33863
7000;15753;34359
7100;16032;34951
7200;16242;35435
7300;16455;35904
7400;16644;36352
7500;16824;36797
7600;17037;37281
7700;17274;37792
7800;17469;38228
7900;17706;38724
8000;17949;39208
8100;18195;39755
8200;18426;40257
8300;18669;40771
8400;18924;41336
8500;19128;41811
8600;19326;42214
8700;19563;42710
8800;19785;43233
8900;20028;43786
9000;20259;44258
9100;20475;44736
9200;20748;45247
9300;20973;45722
9400;21195;46212
9500;21402;46639
9600;21627;47087
9700;21846;47595
9800;22077;48091
9900;22275;48464
10000;22491;49008
