elements;bu;td
100;342;570
200;780;1230
300;1212;1882
400;1608;2586
500;2046;3278
600;2508;4050
700;2982;4762
800;3450;5458
900;3924;6182
1000;4368;6930
1100;4872;7690
1200;5292;8422
1300;5802;9274
1400;6240;9974
1500;6702;10710
1600;7134;11362
1700;7536;12022
1800;7956;12678
1900;8430;13486
2000;8832;14182
2100;9318;15034
2200;9816;15846
2300;10266;16554
2400;10746;17318
2500;11202;18002
2600;11658;18746
2700;12072;19450
2800;12486;20130
2900;12870;20810
3000;13266;21466
3100;13818;22310
3200;14298;22978
3300;14778;23718
3400;15234;24470
3500;15660;25146
3600;16074;25802
3700;16602;26606
3800;17052;27362
3900;17526;28094
4000;18042;28866
4100;18498;29570
4200;18906;30246
4300;19308;30878
4400;19758;31534
4500;20268;32406
4600;20610;33002
4700;21072;33742
4800;21510;34450
4900;22002;35186
5000;22500;35950
5100;22872;36594
5200;23346;37338
5300;23844;38078
5400;24228;38806
5500;24726;39614
5600;25164;40230
5700;25638;40982
5800;26088;41770
5900;26490;42422
6000;26880;43162
6100;27336;43862
6200;27786;44602
6300;28242;45354
6400;28686;46094
6500;29250;46922
6600;29706;47718
6700;30168;48414
6800;30648;49134
6900;31032;49750
7000;31506;50478
7100;32064;51334
7200;32484;52046
7300;32910;52738
7400;33288;53402
7500;33648;54062
7600;34074;54774
7700;34548;55522
7800;34938;56170
7900;35412;56898
8000;35898;57610
8100;36390;58406
8200;36852;59142
8300;37338;59894
8400;37848;60714
8500;38256;61414
8600;38652;62018
8700;39126;62746
8800;39570;63510
8900;40056;64314
9000;40518;65010
9100;40950;65714
9200;41496;66462
9300;41946;67162
9400;42390;67882
9500;42804;68518
9600;43254;69182
9700;43692;69926
9800;44154;70654
9900;44550;71218
10000;44982;72010
